,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
470,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
471,Android,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
472,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
473,Android,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
474,Android,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
475,Android,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
476,Apple,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
477,Android,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
478,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
484,Apple,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
485,Android,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
486,Apple,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
487,Apple,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
489,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
492,Android,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
493,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Android,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
497,Android,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
499,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Android,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
502,Android,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
504,Apple,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
505,Android,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
509,Android,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
512,Android,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
516,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
521,Android,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
527,Apple,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
531,Android,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
533,Apple,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
534,Android,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
536,Android,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
539,Android,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
541,Apple,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
544,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Apple,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
547,Apple,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
548,Android,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
549,Apple,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
550,Android,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
552,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
558,Android,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
567,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
569,Apple,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
572,Android,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
575,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Android,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
582,Apple,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
585,Apple,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0
588,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
602,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
603,Apple,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
604,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
605,Android,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0
609,Android,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
610,Android,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
611,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
612,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
